d,h,w
1.14275597937927,445.17767,69.1792
0.93754930869276,174.69566,73.57831
0.923641211313366,164.15594,71.57178
0.923524279815629,169.97789,69.41333
0.921329872753013,164.33209,69.90845
0.920796337685863,170.47447,69.321655
0.922059799040107,172.59131,76.61902
0.928585968221018,168.01764,78.21045
0.932998556667211,171.94836,82.61951
0.942828981018343,168.73888,79.51538
0.963399146112624,169.03906,78.075195
0.956391519085354,162.35512,77.01416
0.963133157863286,161.35931,73.473755
0.971992858388189,163.63464,75.42273
0.967924648389364,166.09435,75.29782
0.954084430381828,161.63287,76.75049
0.952125853209093,158.4477,73.85629
0.944982850048691,166.49121,75.41583
0.943236262525157,169.50043,75.214355
0.908767973626267,165.61096,73.07074
0.934092628172506,165.98338,72.99988
0.912388115707893,171.74608,75.276794
0.911322459583943,171.51186,75.069214
0.906286059827233,167.1932,74.95691
0.905948335734084,170.80023,73.42499
0.908671498712082,162.93561,72.60254
0.917045676911833,171.30914,74.09729
0.923258732521522,166.62738,74.02533
0.929430779240652,165.50519,73.38617
0.93170312577554,163.85938,71.643555
0.934328740531838,163.40607,69.97345
0.930711995738141,160.2714,70.319214
0.947567997879324,160.85089,69.336914
0.955344838587619,161.92523,67.9483
0.950001097036065,160.50397,71.67177
0.956548096692603,158.12866,70.63043
0.962858946643698,156.47235,71.37108
0.955795156316663,159.46619,70.93439
0.962321981271598,159.28986,71.28819
0.962318910414166,161.45126,71.50757
0.974072755443911,161.43866,69.393936
0.985603351886558,161.51569,70.757385
0.984593465191098,160.6539,70.47862
0.985849852208674,160.96323,69.470566
0.990369342392458,160.22672,70.17529
0.99505114349518,160.74976,69.40001
0.995515026241879,157.99109,70.416565
0.997764356440121,159.71423,69.82675
0.990372996946702,158.08118,69.51495
0.997011767574282,156.2421,67.64383
1.003745323326,156.11273,65.862305
1.01380594260071,156.98486,65.32019
1.01741797380103,155.63342,66.67871
1.01536633532863,158.55011,67.172485
1.02497760469989,153.52771,67.04483
1.01783324594004,155.15335,67.11868
1.0158315026794,154.43076,67.69577
1.01785706274853,154.15149,66.808624
1.01785706274853,154.79932,67.58649
1.01646014720852,153.8342,66.973114
1.01440475292081,155.8631,66.83624
1.01541705808815,155.97345,66.65979
1.01298546183757,156.4162,67.561584
1.00550431185574,157.1135,69.57135
1.00856951430126,156.10443,68.10303
1.00553467986475,155.75568,68.07657
1.00553467986475,155.94806,68.77112
1.00553467986475,155.87247,69.33276
1.0035485950746,154.63794,69.31973
1.00821504077129,155.52216,69.52435
1.00315880188457,153.98032,69.20094
1.00514409391291,155.26431,69.87073
1.01086257249952,153.66718,69.76526
1.00985178274387,153.53229,69.27557
1.01288439225785,153.39319,69.22864
1.01288439225785,153.26129,68.40619
1.01288439225785,152.73434,68.6543
